,cmun,province,municipality,altitude,koppen_climate,age_score,economy_score,economy_score_area,closest_distance_airport,school_score_area
221,20905,Gipuzkoa,Orendain,389.0253,Cfb,52.65306122448979,0.0,7.00429104477612,40.40203873241943,5.0
222,31149,Navarra,Leitza,475.8446,Cfb,19.84783327820047,7.65,11.434795863309354,32.421521825207485,5.0
223,39050,Cantabria,Pesaguero,608.4185,Cfb,-13.999999999999991,0.0,1.363157894736842,69.90367914808333,1.5
224,9124,Burgos,Espinosa de los Monteros,753.3468,Cfb,-5.582524271844662,5.75,4.956372549019608,44.59044001148336,5.0
226,20904,Gipuzkoa,Baliarrain,298.5484,Cfb,68.50649350649351,0.0,6.964705882352941,42.07182807839423,5.0
227,20047,Gipuzkoa,Itsasondo,163.9407,Cfb,33.60778443113772,0.0,7.564416058394161,44.34817246890272,5.0
228,15090,A Coruña,Vilasantar,442.1523,Csb,-22.40259740259741,0.0,8.869285714285715,32.032966842428564,5.0
229,31020,Navarra,Araitz,228.7052,Cfb,1.338432122370932,0.0,6.56063829787234,36.71740245572268,5.0
231,20906,Gipuzkoa,Altzaga,284.3419,Cfb,18.42105263157896,0.0,7.149259259259259,43.79751482611921,5.0
232,20012,Gipuzkoa,Arama,160.9707,Cfb,14.887640449438202,0.0,7.60537037037037,44.51256083803143,5.0
233,39077,Cantabria,Santiurde de Reinosa,647.917,Cfb,-27.16535433070866,0.0,1.428125,45.63772101599988,3.0
234,39096,Cantabria,Vega de Liébana,1232.006,Cfb,-24.202898550724637,0.0,0.6303571428571428,79.60488280258402,1.5
235,9215,Burgos,Merindad de Sotoscueva,760.6615,Cfb,-25.48543689320388,0.0,1.4339285714285714,43.37485633199659,4.0
238,1003,Álava,Aramaio,381.8797,Cfb,5.326086956521749,1.8000000000000005,12.170454237288135,23.639651938822453,5.0
239,20042,Gipuzkoa,Ibarra,381.8797,Cfb,16.31758402338042,12.65,17.549479661016946,23.639651938822453,5.0
240,39070,Cantabria,San Miguel de Aguayo,839.2117,Cfb,-0.8982035928143688,0.0,1.645982142857143,44.64568613808579,4.0
242,20037,Gipuzkoa,Gaintza,435.0464,Cfb,13.709677419354833,0.0,6.673404255319148,43.65698863403191,5.0
243,20038,Gipuzkoa,Gabiria,407.9997,Cfb,24.903100775193792,0.0,8.512016304347826,41.40856055648915,5.0
244,24096,León,Maraña,1240.478,Cfb,-16.517857142857146,0.0,1.5695312499999998,64.24792477929063,4.0
246,20001,Gipuzkoa,Abaltzisketa,369.3386,Cfb,24.208860759493675,0.0,6.4677083333333325,42.74953337024106,5.0
248,20008,Gipuzkoa,Amezketa,210.145,Cfb,25.265957446808518,0.0,6.616267123287671,41.98101097225159,5.0
249,20062,Gipuzkoa,Ormaiztegi,203.0768,Cfb,28.06809184481393,3.75,9.338309352517983,42.82829116856875,5.0
250,15080,A Coruña,Sobrado,531.1628,Csb,-25.01424501424501,4.2,17.38660606060606,35.68298723045053,5.0
251,48072,Bizkaia,Otxandio,559.9855,Cfb,28.15498154981549,2.4,13.758303846153844,18.97627604920364,5.0
252,15038,A Coruña,Frades,330.4912,Csb,-12.962962962962962,5.25,22.83611710526316,19.563040403981063,5.0
253,24001,León,Acebedo,1156.151,Cfb,-32.97872340425532,0.0,0.6897058823529412,66.5147152860702,3.0
254,20078,Gipuzkoa,Zaldibia,173.7619,Cfb,26.57060518731989,5.35,9.5725,45.874231132235145,5.0
255,9189,Burgos,Junta de Traslaloma,674.0426,Cfb,-37.29508196721311,0.0,3.123333333333334,48.99752118001822,3.0
258,33028,Asturias,Ibias,363.6068,Csb,-38.46503178928246,0.0,1.935576923076923,89.62531576860307,5.0
260,27011,Lugo,Castroverde,589.1481,Csb,-19.47895791583167,7.1,14.595266666666667,90.22872203773066,5.0
261,27020,Lugo,Friol,483.822,Csb,-17.777777777777786,9.75,16.548645161290324,52.99827079253601,5.0
262,20058,Gipuzkoa,Olaberria,321.9393,Cfb,9.20344456404736,0.0,7.229166666666667,46.11886115513221,5.0
263,48088,Bizkaia,Ubide,587.656,Cfb,30.116959064327474,0.0,12.629095049504947,16.77530432930455,5.0
264,31049,Navarra,Basaburua,659.5215,Cfb,8.293269230769226,0.0,6.597528061224491,31.127648150771915,5.0
265,31055,Navarra,Betelu,236.0627,Cfb,24.415584415584405,0.0,7.280209437086093,39.87099767651863,5.0
266,24025,León,Burón,1098.104,Cfb,-28.645833333333343,0.0,0.7073529411764706,68.95849110012179,4.0
267,15088,A Coruña,Val do Dubra,308.1521,Csb,-8.464409490802467,10.95,28.36868625,22.72423730440247,5.0
268,20057,Gipuzkoa,Mutiloa,242.8707,Cfb,29.05138339920949,0.0,8.448980215827337,40.64609809974328,5.0
269,9216,Burgos,Merindad de Valdeporres,754.3774,Cfb,-23.67788461538462,0.0,1.840178571428572,45.27406958115167,4.0
270,20034,Gipuzkoa,Eskoriatza,283.6373,Cfb,19.67116158031702,8.95,14.112163306451611,22.63579180129475,5.0
271,39017,Cantabria,Campoo de Yuso,854.9267,Cfb,4.599406528189903,0.0,1.5892241379310348,47.71493366994515,5.0
272,39032,Cantabria,Hermandad de Campoo de Suso,912.019,Cfb,-1.577970297029708,4.9,3.76953125,55.6185849345194,3.0
273,15086,A Coruña,Trazo,308.1545,Csb,-11.04243234213166,9.4,27.175534523809525,16.251782742257827,5.0
274,20026,Gipuzkoa,Zerain,331.8807,Cfb,8.362989323843408,0.0,8.292839788732394,40.11844171037578,5.0
276,20043,Gipuzkoa,Idiazabal,216.831,Cfb,25.66079295154185,6.95,11.564712068965516,43.1501857415749,5.0
277,31211,Navarra,Orreaga/Roncesvalles,954.5584,Cfb,-50.0,0.0,6.2535828125,37.8547993280926,5.0
278,15034,A Coruña,Dumbría,196.8048,Csb,-9.133071708883335,9.4,18.280434782608697,58.23949889076756,5.0
279,20070,Gipuzkoa,Segura,245.1862,Cfb,31.5825375170532,2.0,9.0512551369863,41.65040837033875,5.0
280,15010,A Coruña,Boimorto,486.9221,Csb,-27.416666666666657,4.15,16.38641756756757,26.732994854743986,5.0
