cmun,municipality,population,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
5144,Narrillos del Álamo,63,227,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0
5145,Narrillos del Rebollar,40,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5147,Narros del Castillo,153,201,0.0,0.28,0.84,0.0,0.44,0.0,0.0,0.77,0.0,0.0
5148,Narros del Puerto,31,169,0.0,0.37,0.0,0.0,0.0,0.0,0.0,1.0,0.71,0.0
5149,Narros de Saldueña,106,117,0.0,0.35,0.97,0.0,0.97,0.97,0.97,1.0,0.14,0.0
5151,Navacepedilla de Corneja,91,223,0.0,0.0,0.95,0.0,0.97,0.97,0.93,0.07,0.01,0.0
5152,Nava de Arévalo,695,502,0.11,0.0,0.87,0.0,0.77,0.0,0.87,0.85,0.05,0.0
5153,Nava del Barco,87,321,0.0,0.98,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5154,Navadijos,37,98,0.0,1.0,0.0,0.0,0.87,0.0,0.0,1.0,0.98,0.0
5155,Navaescurial,44,137,0.0,0.39,0.83,0.0,0.83,0.83,0.76,0.88,0.08,0.0
5156,Navahondilla,366,770,0.0,0.1,0.91,0.0,0.99,0.98,0.96,1.0,0.56,0.0
5157,Navalacruz,215,662,0.12,0.82,0.98,0.0,0.42,0.0,0.98,1.0,0.0,0.0
5158,Navalmoral,356,815,0.04,1.0,0.96,0.0,0.99,0.96,0.95,1.0,1.0,0.0
5159,Navalonguilla,205,379,0.0,0.37,0.0,0.0,0.84,0.0,0.0,0.84,0.8,0.0
5160,Navalosa,317,579,0.01,0.72,0.91,0.0,0.95,0.91,0.86,0.99,0.99,0.0
5161,Navalperal de Pinares,761,1.561,0.21,0.99,0.51,0.0,0.96,0.0,0.0,1.0,0.0,0.0
