,18-24,25-34,35-54
1254,71,77,330
1255,14,15,37
1256,1,10,12
1257,19,32,76
1258,24,45,88
1259,17,27,59
1260,6,3,26
1261,16,16,92
1262,9,28,54
1263,10,24,73
1264,0,3,10
1265,36,31,122
1266,16,40,96
1267,62,64,230
1268,390,448,1739
1269,83,147,596
1270,6,21,32
1271,18,33,113
1273,7,5,30
1274,49,99,234
1275,24,43,91
1276,51,89,284
1277,8,9,18
1278,0,2,4
1279,11,15,47
1280,39,83,290
1281,15,33,62
1282,10,13,73
1283,62,107,410
1284,243,340,820
1286,16,17,46
1287,76,139,458
1288,0,10,14
1289,6,20,54
1291,88,143,474
1292,112,181,513
1293,511,676,1742
1294,15,19,52
1295,0,5,9
1296,5,16,27
1297,3,13,40
1298,28,23,98
1299,1,1,11
1300,15,15,70
1301,1,1,3
1302,68,126,277
1303,6,23,70
1304,108,164,437
1305,14,25,93
1306,300,460,1182
1307,86,124,411
1308,23,41,86
1311,11,44,159
1312,15,24,72
1313,88,109,368
1314,106,121,456
1315,96,95,383
1316,22,37,136
1317,3,9,16
1318,5,18,68
1319,4,5,18
1320,11,16,44
1321,2,4,10
1322,4,1,15
1323,2,6,12
1324,12,31,84
1325,15,30,72
1326,22,25,81
1327,162,213,560
1328,69,89,327
1329,238,318,816
1330,3,4,31
1331,27,34,83
1332,0,1,12
1333,8,25,61
1334,92,135,343
1335,32,81,285
1336,5,11,62
1337,1,4,32
1338,50,98,237
1339,13,22,66
1340,0,3,11
1341,16,30,103
1342,36,82,259
1343,14,19,78
1344,12,16,44
1345,45,78,258
1346,2,2,17
1347,18,25,57
1348,41,63,160
1349,36,42,145
1350,0,3,3
1351,0,4,17
1353,16,59,155
1354,2,0,6
1355,4,8,19
1356,5,14,28
1357,1,3,16
1358,12,14,38
1359,5,7,20
1360,114,141,688
1361,13,28,89
1362,7,5,20
1363,5,14,49
1364,23,26,99
1365,53,53,167
1366,57,95,252
1367,45,53,183
1368,187,268,760
1369,3,2,2
1370,2,9,19
1371,175,250,703
1372,9,20,33
1373,14,59,185
1374,6,13,64
1375,27,29,103
1376,10,33,60
1377,27,41,134
1378,45,55,249
1379,3,6,35
1380,67,120,309
1381,14,26,74
1382,24,37,111
1383,1,1,9
1384,155,213,594
1385,259,437,1060
1386,104,133,452
1387,4,6,22
1388,123,177,522
1389,12,19,86
1390,5,9,59
1391,0,0,8
1392,5,5,43
1394,2,3,37
1395,156,140,676
1396,5,21,42
1397,107,107,568
1398,25,30,106
1400,3,7,15
1401,1,2,14
1402,9,28,77
1403,0,16,35
1405,3,3,5
1406,295,486,1985
1407,8,5,28
1408,14,18,73
1409,16,12,47
1410,117,127,368
1411,2,6,9
1412,344,526,1558
1413,174,253,909
1414,1,4,9
1415,4,29,47
1416,4,35,50
1417,1,8,16
1418,1,15,61
1419,38,71,179
1420,289,400,1341
1421,5,7,35
1422,2,11,22
1423,3,6,18
1424,5,23,47
1425,27,41,168
1427,62,98,294
1428,11,12,34
1429,9,37,79
1431,44,77,302
1432,10,20,43
1433,1,8,5
1434,0,9,21
1435,80,131,311
1436,252,377,845
1437,4,7,20
1438,3,3,10
1439,48,94,350
1440,20,50,146
1441,43,46,150
1442,17,15,80
1443,73,86,301
1444,2,10,22
1445,0,1,2
1446,3,2,9
1447,6,8,14
1448,6,15,62
1449,155,272,748
1450,9,26,100
1451,4,15,39
1452,30,69,174
1453,15,26,74
1454,5,12,26
1455,4,9,21
1456,42,44,291
1457,25,30,78
1458,4,12,46
1459,3,7,33
1461,26,58,186
1462,28,39,163
1463,11,17,62
1465,57,82,273
1466,105,108,788
1468,1,5,10
1469,3,1,25
1470,64,66,211
1471,28,71,189
1472,20,32,107
1473,27,32,77
1474,16,31,81
1475,1,6,18
1476,41,70,303
1477,38,86,254
1478,11,25,71
1479,0,3,7
1480,17,30,78
1481,2,8,33
1482,0,2,11
1484,31,63,250
1485,14,22,77
1486,24,35,109
1487,13,24,97
1488,22,52,111
1489,46,64,240
1490,24,24,143
1491,0,0,2
1492,17,25,45
1493,3,12,35
1494,6,11,57
1495,59,63,180
1496,143,210,554
1497,34,57,230
1498,33,81,191
1499,166,130,569
1500,47,58,247
1501,0,0,10
1502,3,10,29
1503,85,169,603
1504,15,19,57
1505,55,74,268
1506,204,389,779
1507,4,13,20
1508,438,559,1628
1509,20,30,120
1510,9,6,23
1511,18,34,70
1512,0,2,10
1513,63,61,267
1514,9,18,54
1515,58,103,261
1516,2,15,14
1517,17,39,129
1518,4,16,56
1519,70,102,349
1520,1,10,28
1521,248,454,1111
1522,2,8,12
1523,50,146,387
1524,9,17,40
1525,0,0,3
1526,38,86,245
1527,4,9,25
1528,10,18,37
1529,15,30,120
1530,10,22,55
1531,13,17,80
1532,11,11,49
1533,323,467,1193
1534,33,58,116
1535,231,358,1291
1536,47,75,255
1537,52,114,254
1538,172,318,900
1539,3,12,33
1540,8,6,17
1541,110,154,638
1542,60,104,312
1544,4,12,36
1545,33,60,286
1546,13,22,99
1547,1,6,18
1548,89,138,417
1549,229,282,758
1550,151,224,610
1551,16,28,75
1552,7,23,43
1554,5,10,37
1555,41,93,228
1556,11,36,83
1557,6,9,43
1558,0,3,8
1559,4,11,20
1560,103,142,434
1561,14,22,61
1562,67,129,525
1563,219,312,878
1564,49,59,259
1565,0,2,6
1566,52,23,149
1567,22,33,93
1568,1,4,13
1569,66,95,262
1570,1,3,5
1571,28,40,120
1572,4,5,23
1573,1,2,17
1574,21,34,76
1575,2,5,22
1576,143,252,653
1577,89,143,339
1578,35,53,125
1579,4,12,20
1580,339,561,1515
1581,10,27,74
1582,3,6,29
1583,10,12,51
1584,67,68,236
1585,29,31,81
1586,5,18,47
1587,30,96,242
1588,304,413,1412
1589,190,289,948
1590,24,46,120
1591,2,11,22
1592,1,2,4
1593,15,28,121
1594,2,3,22
1595,50,89,206
1596,4,4,16
1597,2,0,11
1598,6,11,37
1599,0,0,4
1600,12,23,41
1601,34,102,246
1602,2,3,15
1603,17,15,73
1604,9,15,58
1605,18,19,72
1606,0,10,20
1607,3,9,27
1608,43,103,311
1609,17,27,79
1610,3,8,16
1611,9,17,80
1612,0,7,8
1613,28,45,108
1614,2,5,20
1616,48,73,237
1617,175,234,757
1618,3,11,34
1619,0,0,7
1620,1,1,17
1621,6,0,10
1622,23,28,100
1623,5,2,15
1624,7,21,69
1625,21,55,103
1626,171,256,628
1627,42,71,203
1629,3,1,15
1630,15,17,41
1631,7,9,21
1632,30,37,181
1633,12,23,83
1634,232,345,882
1635,44,94,257
1636,0,0,9
1638,2,5,14
1639,3,0,8
1640,3,23,57
1641,34,42,187
1642,6,9,28
1643,4,7,15
1644,155,255,703
1645,51,111,345
1646,3,1,8
1647,20,18,90
1648,5,25,48
1649,20,37,89
1650,25,24,50
1651,48,101,182
1652,9,28,91
1653,22,53,126
1654,0,4,8
1656,0,1,5
1657,20,28,96
1658,3,10,42
1659,5,2,11
1660,9,23,69
1661,9,16,77
1662,127,196,622
1663,2,7,24
1664,12,22,56
1666,20,44,108
1667,32,27,134
1668,4,7,13
1669,1,3,14
1670,151,242,660
1672,7,23,44
1673,18,30,78
1674,49,90,264
1675,21,26,110
1676,13,5,16
1677,1,1,8
1678,5,4,23
1679,45,106,229
1680,6,9,46
1681,31,72,172
1682,5,6,23
1683,24,30,123
1684,3,11,41
1685,0,2,1
1686,18,46,139
1687,2,2,4
1688,63,88,356
1689,17,19,108
1690,28,42,117
1691,11,20,77
1692,78,125,381
1693,4,6,17
1694,24,41,103
1696,6,16,26
1697,0,2,18
1698,1,5,19
1699,362,464,1339
1700,0,11,25
1701,4,4,15
1702,2,1,6
1703,0,14,35
1704,38,80,135
1705,0,4,8
1706,1,4,9
1707,12,18,39
1708,22,39,147
1709,75,139,369
1710,14,14,63
1711,6,15,47
1712,2,4,9
1713,10,23,72
1714,20,42,170
1715,4,8,22
1716,12,17,53
1717,4,10,8
1718,0,0,3
1719,3,2,15
1720,35,65,243
1722,6,7,21
1723,3,14,25
1724,75,115,310
1725,8,11,49
1726,16,18,83
1727,1,7,10
1728,0,4,15
1729,1,4,15
1730,3,22,48
1731,74,155,446
1732,7,8,14
1733,1,3,9
1734,124,191,489
1735,289,442,1460
1736,0,4,8
1737,40,67,243
1738,2,9,22
1739,64,108,326
1740,5,36,93
1741,3,10,25
1742,10,20,70
1743,89,125,449
1744,50,91,292
1745,1,2,18
1746,8,11,40
1747,4,5,23
1748,1,2,7
1749,42,25,80
1750,4,11,34
1751,85,114,488
1752,164,176,592
1753,2,9,12
1755,52,59,218
1756,14,15,70
1757,26,40,129
1758,5,16,21
1759,7,11,31
1760,17,11,53
1761,6,10,22
1762,23,36,118
1763,2,4,22
1765,49,72,297
1766,33,46,113
1767,4,13,34
1768,0,5,6
1769,65,90,272
1770,16,42,114
1771,2,2,14
1772,17,25,80
1773,27,40,102
1774,13,20,44
1775,0,2,10
1776,8,23,65
1777,1,7,15
1778,10,14,64
1779,59,116,340
1780,0,0,15
1781,7,22,61
1782,67,56,319
1783,0,0,2
1784,31,39,146
1785,24,45,142
1786,9,7,40
1787,0,0,11
