,longitude,municipality,latitude
534,-5.523663,Garrafe de Torío,42.73277
535,-6.604204,Berlanga del Bierzo,42.7312
536,-7.325293,Samos,42.73054
537,-5.79007,Rioseco de Tapia,42.72955
538,-6.27664,Igüeña,42.72905
539,-5.822508,Santa María de Ordás,42.72724
540,-3.08537,Bozoó,42.72657
541,-2.022548,Abárzuza/Abartzuza,42.72641
542,-7.021226,Pedrafita do Cebreiro,42.72624
543,-6.655013,Vega de Espinareda,42.72601
544,-5.025482,Cebanico,42.72543
545,-9.006695,Porto do Son,42.72468
546,-0.282123,Panticosa,42.72368
547,-2.872574,Armiñón,42.72305
548,-4.823821,Villalba de Guardo,42.72227
549,-4.42506,Olmos de Ojeda,42.72211
550,-5.952188,Valdesamario,42.72149
551,-4.480036,Payo de Ojeda,42.72071
552,-1.00419,Burgui/Burgi,42.72029
553,-1.116588,Navascués/Nabaskoze,42.71852
554,-4.092333,Valle de Valdelucio,42.71822
555,-1.877828,Guirguillano,42.71777
556,-8.714723,Dodro,42.7175
557,-2.0,Valle de Yerri/Deierri,42.71667
558,-3.233333,Partido de la Sierra en Tobalina,42.71667
559,-8.65,Pontecesures,42.71667
560,-7.762904,Taboada,42.71615
561,-3.501816,Aguas Cándidas,42.71609
562,-2.968477,Erriberagoitia/Ribera Alta,42.71577
563,-4.633691,Congosto de Valdavia,42.71569
564,-0.5256487,Canfranc,42.71557
565,-3.749611,Valle de Sedano,42.71544
566,-3.059203,Santa Gadea del Cid,42.71543
567,-1.323,Urraul Bajo,42.714
568,-2.918541,Ribera Baja/Erriberabeitia,42.71267
569,-1.772264,Legarda,42.71169
570,-6.397839,Noceda del Bierzo,42.71043
571,-5.639072,Cuadros,42.71033
572,-1.75952,Uterga,42.71005
573,-3.803644,Tubilla del Agua,42.70913
574,0.9030556,Naut Aran,42.70889
575,-2.076739,Allín/Allin,42.70855
576,-4.375168,Santibáñez de Ecla,42.70685
577,-0.6700809,Aragüés del Puerto,42.70673
578,-6.923307,Balboa,42.70652
579,-2.247,Lana,42.706
580,-3.532114,Padrones de Bureba,42.7049
581,-1.506409,Monreal/Elo,42.70464
582,-3.989552,Basconcillos del Tozo,42.70267
583,0.7956383,Vielha e Mijaran,42.70165
584,-6.509904,Toreno,42.70055
585,-8.248382,Silleda,42.69791
