cmun,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other
05247,0,0,0,0,0,0,0,0
05249,0,0,0,0,0,0,0,0
05251,0,0,0,0,0,0,0,0
05252,0,0,0,0,0,0,0,0
05253,0,0,0,0,0,0,0,0
05254,0,0,0,0,0,0,0,0
05256,0,0,0,0,0,0,0,0
05257,0,0,0,0,0,0,0,0
05258,0,0,0,0,0,0,0,0
05259,0,0,0,0,0,0,0,0
05260,0,0,0,0,0,0,0,0
05261,0,0,0,0,0,0,0,0
05262,0,0,0,0,0,0,0,0
05263,0,0,0,0,0,0,0,0
05264,0,0,0,0,0,0,0,0
05265,0,0,0,0,0,0,0,0
05266,0,0,0,0,0,0,0,0
05267,0,0,0,0,0,0,0,0
05901,0,0,0,0,0,0,0,0
05902,0,0,0,0,0,0,0,0
05903,0,0,0,0,0,0,0,0
05904,0,0,0,0,0,0,0,0
05905,0,0,0,0,0,0,0,0
06001,0,0,0,0,0,0,0,0
06002,27,60,4,5,7,24,14,23
06003,0,0,0,0,0,0,0,0
06004,6,17,0,0,0,0,0,0
06005,11,19,0,0,0,0,0,0
06006,29,25,5,5,10,35,11,31
06007,5,10,0,0,0,0,0,0
06008,0,0,0,0,0,0,0,0
06009,0,0,0,0,0,0,0,0
06010,6,10,0,0,0,0,0,0
06011,194,263,37,72,96,358,211,245
06012,25,41,0,0,0,0,0,0
06013,0,0,0,0,0,0,0,0
06014,34,40,0,0,14,63,34,57
06015,392,724,165,244,526,1.945,1.068,1.194
06016,14,26,0,0,0,0,0,0
06017,0,0,0,0,0,0,0,0
06018,0,0,0,0,0,0,0,0
06019,18,22,0,0,0,0,0,0
06020,11,17,0,0,0,0,0,0
06021,6,13,0,0,0,0,0,0
06022,10,19,0,0,0,0,0,0
06023,22,30,0,0,0,0,0,0
06024,13,7,0,0,0,0,0,0
06025,15,48,0,0,8,25,18,32
06026,0,0,0,0,0,0,0,0
06027,0,0,0,0,0,0,0,0
06028,41,26,0,0,0,0,0,0
06029,4,9,0,0,0,0,0,0
06030,0,0,0,0,0,0,0,0
06031,0,0,0,0,0,0,0,0
06032,0,0,0,0,0,0,0,0
06033,5,16,0,0,0,0,0,0
06034,0,0,0,0,0,0,0,0
06035,0,0,0,0,0,0,0,0
06036,40,29,0,17,0,62,31,49
06037,5,5,0,0,0,0,0,0
06038,0,0,0,0,0,0,0,0
06039,8,12,0,0,0,0,0,0
06040,0,0,0,0,0,0,0,0
06041,0,0,0,0,0,0,0,0
06042,6,0,0,0,0,0,0,0
06043,0,0,0,0,0,0,0,0
06044,151,270,30,58,127,371,207,279
06045,0,0,0,0,0,0,0,0
06046,4,7,0,0,0,0,0,0
06047,0,0,0,0,0,0,0,0
06048,0,0,0,0,0,0,0,0
06049,6,10,0,0,0,0,0,0
06050,37,38,0,0,0,0,0,0
06051,7,10,0,0,0,0,0,0
06052,34,49,0,0,0,0,0,0
06053,0,0,0,0,0,0,0,0
06054,45,43,0,10,0,28,21,28
06055,15,23,0,0,0,0,0,0
06056,0,0,0,0,0,0,0,0
06057,0,0,0,0,0,0,0,0
06058,12,12,0,0,0,0,0,0
06059,9,19,0,0,0,0,0,0
06060,31,39,0,0,8,27,15,35
06061,7,8,0,0,0,0,0,0
06062,0,0,0,0,0,0,0,0
06063,18,19,0,0,0,0,0,0
06064,0,0,0,0,0,0,0,0
06065,0,0,0,0,0,0,0,0
06066,4,7,0,0,0,0,0,0
06067,21,14,0,0,0,0,0,0
06068,0,0,0,0,0,0,0,0
06069,15,26,0,0,0,0,0,0
06070,59,51,6,13,14,105,39,67
06071,0,0,0,0,0,0,0,0
06072,10,11,0,0,0,0,0,0
06073,0,0,0,0,0,0,0,0
06074,21,49,4,7,18,70,48,62
06075,0,0,0,0,0,0,0,0
06076,0,0,0,0,0,0,0,0
06077,0,0,0,0,0,0,0,0
06078,0,0,0,0,0,0,0,0
06079,0,0,0,0,0,0,0,0
06080,10,13,0,0,0,0,0,0
06081,6,10,0,0,0,0,0,0
06082,0,0,0,0,0,0,0,0
06083,162,313,67,95,204,688,357,465
06084,0,0,0,0,0,0,0,0
06085,40,44,0,0,0,0,0,0
06086,5,7,0,0,0,0,0,0
06087,20,14,0,0,0,0,0,0
06088,42,114,11,22,39,86,59,87
